web-scraper-order,web-scraper-start-url,titulo,precio,habitaciones,banos,metros
1616373395-2993,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-8.html,Departamento Amueblado en Renta Juriquilla Atelier Queretaro,"MN 18,000",2 rec.,"2
					
						baños",80 m²
1616373382-2970,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-9.html,"Departamento Amueblado de 3 Hab en Biosfera, Juriquilla","MN 19,000",3 rec.,"2
					
						baños",120 m²
1616373382-2987,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-9.html,Departamento en Wise Living,"MN 24,000",2 rec.,"2
					
						baños",168 m²
1616373335-2877,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-13.html,"Handiko Towers, a Estrenar, Exterior con Terraza","MN 15,500",2 rec.,"2
					
						baños",125 m²
1616373296-2802,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-16.html,"Increíble Departamento Amueblado en Juriquilla Towers, Alberca, 2 Recs, 2 Baños","MN 25,000",2 rec.,"2
					
						baños",98 m²
1616373490-3164,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-1.html,Renta Amueblado Departamento en San Isidro Juriquilla,"MN 9,500",1 rec.,"1
					
						baño",65 m²
1616373282-2775,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-17.html,Departamento Amueblado en Biosfera Queretaro,"MN 19,500",3 rec.,"2
					
						baños",1 m²
1616373395-2991,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-8.html,Departamento en Renta en Juriquilla Altara Querétaro 2 Recs,"MN 13,000",2 rec.,"2
					
						baños",103 m²
1616373500-3187,https://www.inmuebles24.com/departamentos-en-renta-en-fraccionamiento-residencial-el-refugio.html,Departameto en Renta Amueblado. Lc,"MN 6,500",2 rec.,"1
					
						baño",52 m²
1616373409-3033,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-7.html,"Handiko Towers, a Estrenar, Exterior con Terraza","MN 15,500",2 rec.,"2
					
						baños",125 m²
1616373271-2756,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-18.html,Moderno Departamento Amueblado en Atelier Juriquilla. Oc,"MN 17,000",2 rec.,"2
					
						baños",69 m²
1616373426-3047,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-6.html,Departamento Renta Juriquilla La Loma,"MN 23,000",2 rec.,"3
					
						baños",125 m²
1616373347-2897,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-12.html,Departamento de Lujo en Renta en Juriquilla Queretaro,"MN 18,000",3 rec.,"2
					
						baños",120 m²
1616373478-3147,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-2.html,Departamento en Renta en Grand Preserve,"MN 10,500",2 rec.,"2
					
						baños",85 m²
1616373490-3167,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-1.html,Departamento Amueblado en Renta Wise Living Juriquilla Querétaro,"MN 25,000",2 rec.,"2
					
						baños",165 m²
1616373478-3136,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-2.html,"Departamento en Renta en Torre Handiko, Juriquilla","MN 17,000",2 rec.,"1
					
						baño",125 m²
1616373372-2951,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-10.html,Departamento en Renta Valle de Juriquilla Querétaro 2 Habitaciones,"MN 13,000",2 rec.,"2
					
						baños",106 m²
1616373395-2992,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-8.html,Departamento en Renta Juriquilla Queretaro,"MN 15,000",2 rec.,"1
					
						baño",140 m²
1616373426-3058,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-6.html,Renta de Pent House en Juriquilla Kpo 21 - 537,"MN 23,500",3 rec.,"2
					
						baños",184 m²
1616373438-3081,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-5.html,Departamento - Juriquilla,"MN 17,000",2 rec.,"2
					
						baños",68 m²
1616373452-3101,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-4.html,"Precioso Departamento en Juriquilla Towers, Amueblado, Ganelo","MN 25,000",2 rec.,"2
					
						baños",115 m²
1616373282-2785,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-17.html,"En Renta Departamento Amueblado en Juriquilla, Querétaro","MN 18,000",2 rec.,"2
					
						baños",91 m²
1616373347-2896,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-12.html,Renta de Cuarto,"MN 3,500","1
					
						baño","10
					
						estac.",1 rec.
1616373226-2694,https://www.inmuebles24.com/departamentos-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-2.html,Departamento en Renta en Zen Life El Mirador,"MN 6,500",1 rec.,"1
					
						baño",60 m²
1616373310-2836,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-15.html,Amueblado en Wise Living,"MN 27,000",2 rec.,"2
					
						baños",170 m²
1616373465-3133,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-3.html,"PH con Excelentes Espacios, Muy Bonita Vista, Impecable y Buenos Acabados","MN 30,000",3 rec.,"3
					
						baños",185 m²
1616373452-3094,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-4.html,Departamento en Renta en Juriquilla Desarrollo Handiko,"MN 21,500",2 rec.,"2
					
						baños",160 m²
1616373465-3132,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-3.html,Departamento en Renta Valle de Juriquilla Querétaro 2 Habitaciones,"MN 13,000",2 rec.,"2
					
						baños",106 m²
1616373249-2722,https://www.inmuebles24.com/departamentos-en-renta-q-milenio-iii-queretaro.html,"Departamento Amueblado en Milenio III, Querétaro","MN 15,300",3 rec.,"2
					
						baños",112 m²
1616373271-2770,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-18.html,"Renta de Departamento en Juriquilla Biosfera $19,500","MN 19,500",3 rec.,"3
					
						baños",173 m²
1616373310-2841,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-15.html,Departamento en Renta Juriquilla Queretaro Life 3 Habitaciones y con Amenidades,"MN 19,000",3 rec.,"2
					
						baños",179 m²
1616373335-2885,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-13.html,Departamento en Renta. Juriquilla. Fvr,"MN 14,500",2 rec.,"2
					
						baños",109 m²
1616373465-3128,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-3.html,"Biogrand, Departamento en Renta con Excelente Vista Panorami","MN 10,500",2 rec.,"2
					
						baños",90 m²
1616373358-2935,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-11.html,Departamento Renta El Salitre Juriquilla,"MN 15,000",2 rec.,"2
					
						baños",60 m²
1616373382-2980,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-9.html,"Suites Amuebladas Juriquilla, Servicios Incluidos","MN 12,000",1 rec.,"1
					
						baño",70 m²
1616373426-3054,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-6.html,Departamento en Renta en Biosfera Towers Juriquilla Queretar,"MN 18,000",3 rec.,"2
					
						baños",176 m²
1616373395-2995,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-8.html,Estrena Departamento Amueblado en Juriquilla,"MN 16,500",2 rec.,"2
					
						baños",101 m²
1616373490-3163,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-1.html,"Departamentos en Renta Juriquilla, Quéretaro.","MN 15,500",2 rec.,"2
					
						baños",125 m²
1616373335-2874,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-13.html,Departamento Amueblado - Tu Hogar Rodeado de Belleza Natural - Múltiples y Diversos Espacios.,"MN 38,000",3 rec.,"3
					
						baños",161 m²
1616373465-3117,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-3.html,Departamento Semiamueblado en Santa Fe Juriquilla,"MN 15,000",2 rec.,"2
					
						baños",140 m²
1616373452-3103,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-4.html,Departamento Nuevo en Juriquilla Amenidades,"MN 17,500",2 rec.,"2
					
						baños",145 m²
1616373452-3106,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-4.html,Departamento Amueblado en Renta Planta Baja Juriquilla - Cercano a Fresko y Uvm,"MN 11,500",3 rec.,"1
					
						baño",145 m²
