web-scraper-order,web-scraper-start-url,descrip,precio
1616375248-3163,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Casa en renta en Alanna el Refugio 3 recamaras,"$13,000"
1616375203-3091,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,JURIQUILLA RENTA DEPARTAMENTO 3 RECAMARAS / ATELIER,"$12,500"
1616375182-3072,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,Casa - Juriquilla,"$75,000"
1616375119-2988,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Casa Amueblada en renta en Altos de Juriquilla AQC,"$22,000"
1616375161-3031,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,Casa en Renta Juriquilla Queretaro 3 habitaciones y con amenidades,"$13,000"
1616375056-2874,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,Casa en El Milenio de 300 mts2 con cocina equipada! RAHQRO 19-2205,"$15,000"
1616375290-3222,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,"El Refugio, Hermosa y Cómoda Casa en Renta. Fvr","$14,006"
1616375035-2846,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,Casa en renta El Mirador 3 habitaciones AVH,"$9,500"
1616375269-3170,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Amplia casa en renta de 3 recámaras cada una con baño en El Refugio 20-3531,"$18,500"
1616375035-2864,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,Se renta casa de 3 recamaras  3 baños en el mirador buena ubicacion,"$12,000"
1616375182-3058,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,Casa en Renta Privada Nayara Residencial San Isidro Juriquilla,"$11,500"
1616375140-2992,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4,Casa en renta amueblada en Q Valley Valle de Juriquilla ¡,"$17,000"
1616375035-2842,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,RENTA CASA 3 DESEOS MIRADOR,"$12,000"
1616375269-3180,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Casa en renta en El Refugio de 3 recamaras sin Amueblar RAHQRO,"$14,000"
