web-scraper-order,web-scraper-start-url,titulo,precio,habitaciones,metros
"1615691488-1020","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4","Amplia casa en renta de 3 recamaras en el Refugio 20-3531JVE","$ 15,500","3 Recámaras","246 m² Construidos"
"1615691488-1018","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4","Renta de casa en El Refugio","$ 10,000","3 Recámaras","125 m² Construidos"
"1615691488-1014","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4","Casa en renta El Refugio 3 habitaciones JRH","$ 15,000","3 Recámaras","180 m² Construidos"
"1615691562-1077","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1","CASA AMUEBLADA EN RENTA EN EL REFUGIO","$ 14,000","3 Recámaras","142 m² Construidos"
"1615691461-982","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5","Casa en Esquina con Buenos Acabados - El Refugio. Renta","$ 15,500","3 Recámaras","246 m² Construidos"
"1615691442-956","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1","JURIQUILLA RENTA DEPARTAMENTO 3 RECAMARAS / ATELIER","$ 12,500","3 Recámaras","91 m² Construidos"
"1615691488-1025","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4","Casa en El Refugio sin amoblar de 3 dormitorios y 164 mts2 en renta! GOC","$ 13,500","3 Recámaras","164 m² Construidos"
"1615691424-934","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2","Casa en Renta en Juriquilla con cuarto de servicio","$ 15,000","3 Recámaras","230 m² Construidos"
"1615691461-977","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5","Casa en renta El Refugio 3 habitaciones JGCC","$ 12,500","3 Recámaras","164 m² Construidos"
"1615691514-1031","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3","CASA EN RENTA EN RESIDENCIAL EL REFUGIO DENTRO DE CONDOMINIO CON AMENIDADES","$ 12,500","3 Recámaras","120 m² Construidos"
"1615691514-1027","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3","Amplia casa en renta de 3 recámaras cada una con baño en El Refugio 20-3531","$ 18,500","3 Recámaras","246 m² Construidos"
"1615691461-981","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5","Renta - Casa con Control de Acceso y Amenidades, El Refugio","$ 12,500","3 Recámaras","190 m² Construidos"
"1615691424-942","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2","CASA  RENTA EN JURIQUILLA, EXCELENTE ILUMINACIÓN JARDIN 3 RECS CUARTO SERVICO","$ 30,000","3 Recámaras","450 m² Construidos"
"1615691337-848","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=6","LOFT EN RENTA JURIQUILLA EN CONJUNTO CERRADO CON VIGILANCIA LAS 24HRS.","$ 13,000","1 Recámara","110 m² Construidos"
"1615691316-833","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1","Casa de tres niveles en Milenio III con 3 dormitorios y 300 mts2! JGJ","$ 15,000","3 Recámaras","300 m² Construidos"
"1615691404-914","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3","RENTA DE CASA EN VALLE DE JURIQUILLA","$ 19,000","3 Recámaras","200 m² Construidos"
"1615691372-877","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4","Casa Amueblada en renta, exclusivo condominio en valle de juriquilla","$ 23,000","3 Recámaras","171 m² Construidos"
"1615691562-1093","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1","CASA EN RENTA CH EN VIDARA, RESIDENCIAL EL REFUGIO, QUERÉTARO","$ 9,000","2 Recámaras","110 m² Construidos"
"1615691461-986","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5","Casa de 3 Recámaras en Renta Dentro de Privada en El Refugio SRM 21-3240","$ 12,500","3 Recámaras","190 m² Construidos"
"1615691337-845","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=6","AV/  Renta Casa en Av. La rica  Juriquilla Querétaro","$ 40,000","4 Recámaras","284 m² Construidos"
"1615691355-872","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5","Casa en renta en Altos de juriquilla Amueblada 3 recamaras y Roof","$ 19,000","3 Recámaras","196 m² Construidos"
"1615691562-1100","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1","Casa en renta amueblada con 3 recámaras en El Refugio.","$ 19,000","3 Recámaras","180 m² Construidos"
"1615691442-958","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1","RENTA O VENTA CASA AMUEBLADA EN CUMBRES DEL LAGO JURIQUILLA","$ 35,000","3 Recámaras","300 m² Construidos"
"1615691241-776","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-rent/","EXTRAORDINARIA CASA EN RENTA LOMAS 1","$ 38,000","3 Recámaras","307 m² Construidos"
"1615691241-779","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-rent/","RESIDENCIA EN VENTA CON HERMOSA VISTA AL LAGO","$ 70,000","3 Recámaras","514 m² Construidos"
"1615691562-1092","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1","Casa en Renta Queretaro Vidanta El Refugio","$ 10,000","2 Recámaras","120 m² Construidos"
"1615691316-834","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1","Milenio, amplia casa de tres niveles para renta. FVR","$ 16,000","3 Recámaras","300 m² Construidos"
"1615691372-884","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4","Casa en Murano","$ 13,500","3 Recámaras","159 m² Construidos"
"1615691279-811","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1","Se renta casa de 3 recamaras  3 baños en el mirador buena ubicacion","$ 12,000","3 Recámaras","119 m² Construidos"
"1615691542-1076","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2","Casa de 3 Recámaras, Mantenimiento Incluido El Refigio Querétaro.  CMC #20-1606","$ 13,000","3 Recámaras","164 m² Construidos"
"1615691404-902","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3","Renta Casa en Juriquilla","$ 35,000","3 Recámaras","310 m² Construidos"
"1615691424-937","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2","Casas en Renta en Juriquilla","$ 11,500","3 Recámaras","170 m² Construidos"
"1615691542-1054","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2","Casa en condominio en Renta, en Residencial el Refugio, Querétaro","$ 13,500","3 Recámaras","236 m² Construidos"
"1615691262-786","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=2","Casa en El Mirador AMOBLADO con todos los servicios y 3 dormitorios! RAH","$ 25,000","3 Recámaras","125 m² Construidos"
"1615691372-894","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4","Casa - Juriquilla","$ 14,000","3 Recámaras","155 m² Construidos"
"1615691424-928","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2","CASA EN RENTA EN JURIQUILLA, FRENTE A SUPERAMA","$ 11,800","3 Recámaras","164 m² Construidos"
"1615691542-1052","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2","Casa en Renta en El Refugio Querétaro","$ 12,500","3 Recámaras","160 m² Construidos"
"1615691262-781","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=2","Hermosa casa dentro del mirador y en privada, con amenidades.","$ 11,500","3 Recámaras","120 m² Construidos"
"1615691404-923","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3","Casa Equipada y con Jardín Para Estrenar, San Isidro Juriquilla - Renta","$ 12,000","3 Recámaras","123 m² Construidos"
"1615691355-873","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5","Excelente casa en renta en Juriquilla","$ 15,000","3 Recámaras","null"
"1615691488-1023","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4","Casa en renta El Refugio 3 habitaciones JGCC","$ 12,500","3 Recámaras","164 m² Construidos"
"1615691372-898","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4","AA/ CAS RENTA JURIQUILLA QUERETARO JARDINES DE JURIQUILLA","$ 15,500","3 Recámaras","200 m² Construidos"
"1615691442-966","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1","CASA  RENTA VILLAS DE JURIQUILLA STA FE QUERETARO","$ 11,500","2 Recámaras","142 m² Construidos"
"1615691461-1000","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5","En Renta Amplia casa ubicada en el corazon del Refugio","$ 14,000","3 Recámaras","155 m² Construidos"
"1615691241-770","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-rent/","Casa en renta El Campanario 4 habitaciones JGCC","$ 35,000","4 Recámaras","313 m² Construidos"
"1615691372-899","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4","HERMOSA CASA EN VENTA UBICADA EN JURIQUILLA CAMPESTRE !!","$ 19,000","3 Recámaras","222 m² Construidos"
"1615691355-855","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5","Casa en Renta - Juriquilla - en Privada","$ 28,000","3 Recámaras","415 m² Construidos"
"1615691372-886","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4","Casa - Fraccionamiento La Cañada Juriquilla","$ 50,000","3 Recámaras","429 m² Construidos"
"1615691355-858","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5","Casa amueblada en renta en Balcones Juriquilla, Queretaro","$ 45,000","3 Recámaras","340 m² Construidos"
"1615691262-780","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=2","Casa en El Mirador amoblada con servicios, 125 mts2 y 3 dormitorios! RAHQRO","$ 25,000","3 Recámaras","125 m² Construidos"
"1615691488-1012","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4","Casa amoblado en El Refugio con cocina equipada y 3 dormitorios! RCS","$ 14,500","3 Recámaras","140 m² Construidos"
"1615691279-792","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1","Hermosa casa en Renta dentro de El Mirador","$ 11,500","3 Recámaras","120 m² Construidos"
"1615691488-1003","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4","El Refugio, casa en renta a pie de calle. FVR","$ 13,500","3 Recámaras","164 m² Construidos"
"1615691279-793","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1","Casa amoblado en el mirador de 158 mts2 y 3 dormitorios! Rahqro","$ 25,000","3 Recámaras","158 m² Construidos"
"1615691355-865","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5","RENTA DE CASA EN JURIQUILLA","$ 15,000","3 Recámaras","227 m² Construidos"
"1615691562-1098","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1","Casa Para Renta con Mantenimiento Incluido - El Refugio","$ 14,000","3 Recámaras","155 m² Construidos"
