web-scraper-order,web-scraper-start-url,titulo,precio,habitaciones,banos,metros
"1615692688-2197","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3","DEPARTAMENTO EN VENTA EN BOJAI EL REFUGIO","$ 14,000","103 m²
                                    
                                
                                Construidos","null","null"
"1615692667-2161","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2","SE RENTA DEPA EN JURIQUILLA, QUERÉTARO","$ 12,500","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","100 m²
                                    
                                
                                Construidos"
"1615692491-1738","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=2","Renta de Departamento Amueblado, Excelente Ubicación - El Mirador","$ 11,500","1
                                    
                                
                                Recámara","1
                                    
                                
                                Baño","72 m²
                                    
                                
                                Construidos"
"1615692584-1877","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11","Departamento amueblado en renta en La Loma  Juriquilla ¡","$ 20,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","null"
"1615692471-1695","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=3","Departamento en renta El Mirador 2 habitaciones JGCC","$ 11,500","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","85 m²
                                    
                                
                                Construidos"
"1615692566-1860","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1","Renta Departamento Milenio lll","$ 25,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","120 m²
                                    
                                
                                Construidos"
"1615692629-2008","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7","*EX-1183* Departamento en Juriquilla con 2 dormitorios y amueblado! JGJ","$ 22,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","91 m²
                                    
                                
                                Construidos"
"1615692644-2068","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5","Precioso Departamento en Renta en La Loma, 2 Recamaras, 2 Baños, Campo Deportivo","$ 15,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","90 m²
                                    
                                
                                Construidos"
"1615692613-1943","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9","Ph juriquilla towers","$ 42,000","3
                                    
                                
                                Recámaras","3
                                    
                                
                                Baños","202 m²
                                    
                                
                                Construidos"
"1615692707-2260","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=1","Renta hermoso departamento en PB en Riscos Zakia","$ 7,700","2
                                    
                                
                                Recámaras","1
                                    
                                
                                Baño","65 m²
                                    
                                
                                Construidos"
"1615692510-1750","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=1","Departamento a estrenar sin amoblar en El Mirador de 85 mts2! GOC","$ 15,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","85 m²
                                    
                                
                                Construidos"
"1615692675-2175","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=1","DEPARTAMENTO AMUEBLADO EN RENTA EN WISE LIVING JURIQUILLA, QRO. GPS INMOBILIARIA","$ 24,000","1
                                    
                                
                                Recámara","1
                                    
                                
                                Baño","114 m²
                                    
                                
                                Construidos"
"1615692629-2005","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7","RENTA DEPARTAMENTO AMUEBLADO EN JURIQUILLA SANTA FE 1 DORMITORIO","$ 22,500","1
                                    
                                
                                Recámara","2
                                    
                                
                                Baños","98 m²
                                    
                                
                                Construidos"
"1615692707-2280","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=1","Departamento en Renta EL REFUGIO Querétaro 3 habitaciones Amueblado con amenidades","$ 18,000","3
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","170 m²
                                    
                                
                                Construidos"
"1615692644-2059","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5","RENTA PENTHOUSE AMUEBLADO EN JURIQUILLA SANTA FE 4 RECAMARAS","$ 100,000","4
                                    
                                
                                Recámaras","4
                                    
                                
                                Baños","344 m²
                                    
                                
                                Construidos"
"1615692629-1988","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7","Departamento en Renta en Juriquilla","$ 26,000","2
                                    
                                
                                Recámaras","3
                                    
                                
                                Baños","126 m²
                                    
                                
                                Construidos"
"1615692383-1603","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3","DEPARTAMENTO EN RENTA EN CAMPANARIO ÉLITE","$ 18,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","136 m²
                                    
                                
                                Construidos"
"1615692566-1839","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1","Departamento en Renta, en Milenio 3a. Sección, Querétaro","$ 8,000","1
                                    
                                
                                Recámara","1
                                    
                                
                                Baño","60 m²
                                    
                                
                                Construidos"
"1615692688-2205","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3","DEPARTAMENTO EN RENTA DE 3 RECÁMARAS, EN RESIDENCIAL EL REFUGIO","$ 16,000","3
                                    
                                
                                Recámaras","3
                                    
                                
                                Baños","242 m²
                                    
                                
                                Construidos"
"1615692584-1883","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11","DEPARTAMENTO AMUEBLADO EN RENTA SOBRE BLVD DE LA CAMPANA EN JURIQUILLA QUERETARO","$ 18,500","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","100 m²
                                    
                                
                                Construidos"
"1615692707-2269","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=1","RENTO DEPARTAMENTO QUERETARO FRACC,PRIVALIA AMBIENTA IDEAL ROMMIES UBICADISIMO","$ 7,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","73 m²
                                    
                                
                                Construidos"
"1615692596-1904","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10","DEPARTAMENTO AMUEBLADO JURIQUILLA 2 REC. NÁUTICO","$ 25,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","80 m²
                                    
                                
                                Construidos"
"1615692534-1813","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2","DEPARTAMENTO EN RENTA EN MILENIO III QUERETARO CON GRAN VISTA A LA CAÑADA","$ 18,320","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","113 m²
                                    
                                
                                Construidos"
"1615692534-1821","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2","PENTHOUSE EN RENTA EN MILENIO III, 2 REC., 2 BAÑOS, 1 REC. MULTIUSOS.","$ 18,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","136 m²
                                    
                                
                                Construidos"
