web-scraper-order,web-scraper-start-url,titulo,precio
1618362478-894,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=9,"Casa en Jurica con espacios funcionales, 235 mts2 y 3 dormitorios! RCS","$3,320,000"
1618362557-999,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=5,"HERMOSA CASA ESTILO MEXICANO CONTEMPORÁNEO, JURICA, QUERÉTARO!","$11,000,000"
1618362461-847,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=10,Casa lujosa en Jurica de 4 dormitorios más estudio! RAHQRO 20-805,"$16,500,000"
1618362618-1112,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=1,"Casa en Jurica, Querétaro.    Atención Inversionistas.","$6,738,000"
1618362540-976,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=6,Casa en Jurica en Venta,"$11,500,000"
1618362557-1011,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=5,Hermosa Casa de dos niveles en Venta en Fraccionamiento Jurica,"$10,000,000"
1618362498-922,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=8,Casa en venta Jurica 5 habitaciones JGCC,"$11,350,000"
1618362540-966,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=6,Venta casa en Jurica,"$9,980,000"
1618362618-1108,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=1,"Hermosa residencia nueva, de diseñador en Jurica Querétaro","$13,000,000"
1618362589-1060,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3,Casa en la mejores privada de Jurica con amplio jardín! RAHQRO,"$6,200,000"
1618362478-872,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=9,Casa en venta Jurica 5 habitaciones JGCC,"$11,350,000"
1618362412-770,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13,Casa en Venta en Jurica 32m de frente,"$14,000,000"
1618362618-1125,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=1,HERMOSA CASA DE DOS NIVELES EN VENTA UBICADA EN JURICA !!,"$4,200,000"
1618362498-908,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=8,Casa en venta Jurica 3 habitaciones JGCC,"$6,200,000"
1618362573-1017,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=4,¡¡ HERMOSA CASA AMUEBLADA EN VENTA UBICADA EN JURICA !!,"$6,500,000"
1618362478-877,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=9,Jurica - Casa con Terraza y Recámara en Planta Baja Para Venta,"$16,500,000"
1618362589-1070,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3,CASA EN VENTA DE UNA PLANTA,"$5,800,000"
1618362540-959,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=6,Casa en venta Jurica 3 habitaciones YCC,"$3,320,000"
1618362461-843,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=10,Casa en Venta Jurica 5 Habitaciones Jrh,"$16,500,000"
1618362412-760,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13,Casa remodelada en Jurica de 3 dormitorios y 445 mts2! RAHH,"$13,500,000"
1618362430-789,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=12,Casa en Venta en Jurica con Alberca Queretaro,"$11,000,000"
1618362430-797,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=12,Casa en Venta en Campestre Jurica Queretaro,"$5,300,000"
1618362430-795,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=12,Casa en venta en Jurica,"$12,500,000"
1618362603-1084,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=2,Venta casa de un nivel con 3 recamaras en Fraccionamiento Jurica,"$5,800,000"
1618362478-885,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=9,Venta hermosa casa de campo en condominio de 2 JF,"$3,320,000"
1618362461-844,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=10,VENTA DE CASA 1 NIVEL CON 4 HABITACIONES EN JURICA,"$12,000,000"
1618362520-952,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=7,Casa en venta Condom. Duplex en Jurica V-1168,"$3,320,000"
1618362573-1021,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=4,"CASA EN VENTA EN JURICA, MUY BUENA UBICACION","$4,750,000"
1618362557-1009,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=5,CASA EN VENTA EN QUERETARO Jurica,"$11,800,000"
1618362557-990,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=5,Casa en Venta Queretaro jurica,"$11,500,000"
1618362498-909,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=8,Casa en venta Jurica 5 habitaciones JGCC,"$16,500,000"
1618362478-871,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=9,Casa en venta Jurica 5 habitaciones JGCC,"$11,350,000"
1618362461-837,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=10,Casa en venta Jurica 3 habitaciones JGCC,"$3,320,000"
1618362573-1019,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=4,"Casa en Venta de un solo piso en Jurica, Queretaro con cuarto de servicio 334 m2","$7,890,000"
1618362557-1006,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=5,Casa - Fraccionamiento Jurica,"$15,000,000"
1618362557-994,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=5,"Casa en Venta en Arco de Piedra, Jurica, Queretaro","$7,000,000"
