web-scraper-order,web-scraper-start-url,titulo,precio
1618362823-1466,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=1,CASAS EN VENTA EN MILENIO CON 4 RECAMARAS C/U BAÑO PRIVADO ROOF GARDEN SALA TV,"$3,790,000"
1618363057-1892,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=26,Casa nueva en venta en el Refugio Queretaro,"$3,567,000"
1618362264-446,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=7,REMATE  ¡¡¡¡¡Casa de un piso en venta en Cumbres del Lago ¡,"$2,650,000"
1618362603-1098,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=2,Casa en exclusivo condominio en Jurica de 188 mts2! RAHQRO,"$3,347,948"
1618363625-3703,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=36,Casa en venta Juriquilla Querétaro con 4 habitaciones,"$7,950,000"
1618362644-1156,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-13/casa/for-sale/?page=2,"Casa en El Pueblito en zona tranquila, vigilancia 24/7 y 4 dormitorios! RAHQRO","$3,465,000"
1618363275-2423,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=9,Vive una nueva experiencia en Querétaro - Regálate la casa de tus sueños,"$2,525,000"
1618362197-171,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=16,CASA CUMBRES DEL LAGO DE QUERETARO,"$4,850,000"
1618363540-3391,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=46,Casa de lujo en Juriquilla,"$6,950,000"
1618362806-1441,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=2,"Preciosa Residencia en Milenio III, Estudio o 5ta Recamara, Mármol, 4 Baños...","$3,980,000"
1618363148-2075,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=20,Casa en Venta El Refugio Querétaro en Privada Hermosas Casas de dos Niveles,0
1618363385-2846,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=4,PREVENTA  MUNA Zona Mirador  Casas Nuevas  Excelentes Acabados,"$2,020,000"
1618362311-538,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=4,"Casa sola en Venta, en Cumbres del Lago, Querétaro","$6,900,000"
1618362589-1052,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3,Hermosa casa residencial con alberca en Fraccionamiento Jurica,"$8,500,000"
1618363203-2199,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=16,Moderna Casa En El Refugio,"$3,190,000"
1618362190-139,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=17,Venta de hermosa cas en Juriquilla AGT,"$4,300,000"
1618362823-1475,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=1,"CASA EN VENTA, MILENIO, QUERETARO, CERCA DE LOS ARCOS Y SUPERAMA","$5,490,000"
1618362985-1741,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=31,Casa en venta EL Refugio 3 habitaciones JRH,"$2,450,000"
1618363000-1783,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=30,Hermosa casa estilo americano en venta ubicada en la zona dorada de Queretaro JF,"$3,399,000"
1618363393-2893,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=3,CASA EN VENTA RESIDENCIAL EL MIRADOR,"$1,500,000"
1618363786-4341,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=14,VENTA CASAS - SAN FRANCISCO - JURIQUILLA - QUERETARO,"$7,950,000"
1618363632-3738,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=35,Casa en venta en juriquilla de 3 dormitorios y 2.5 baños! Rahqro 18-317,"$3,139,273"
1618363757-4241,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=18,HERMOSA RESIDENCIA    1 NIVEL  EN VENTA JURIQUILLA,"$19,900,000"
1618362589-1050,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3,CASA EN VENTA EN PRIVADA EN JURICA CAMPESTRE QUERETARO,"$16,500,000"
1618363829-4545,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=8,Casa espectacular con amplios espacios en Juriquilla de 377 mts2! RAHQRO,"$6,500,000"
